Sample,A0,A1,A2
0,535.0,317.0,200.0
1,536.0,319.0,199.0
2,541.0,319.0,200.0
3,546.0,319.0,201.0
4,550.0,318.0,206.0
5,553.0,317.0,209.0
6,553.0,314.0,211.0
7,546.0,311.0,211.0
8,548.0,306.0,207.0
9,553.0,307.0,206.0
10,557.0,314.0,209.0
11,559.0,320.0,212.0
12,558.0,325.0,214.0
13,557.0,324.0,215.0
14,553.0,321.0,215.0
15,549.0,315.0,213.0
16,538.0,315.0,208.0
17,534.0,318.0,204.0
18,538.0,319.0,202.0
19,543.0,320.0,203.0
20,547.0,320.0,204.0
21,551.0,319.0,206.0
22,553.0,317.0,209.0
23,552.0,313.0,209.0
24,546.0,310.0,206.0
25,550.0,306.0,203.0
26,554.0,309.0,204.0
27,557.0,317.0,206.0
28,558.0,321.0,209.0
29,557.0,325.0,213.0
30,555.0,324.0,213.0
31,552.0,318.0,210.0
32,545.0,314.0,208.0
33,535.0,316.0,203.0
34,535.0,319.0,201.0
35,540.0,320.0,200.0
36,544.0,320.0,201.0
37,549.0,319.0,204.0
38,552.0,317.0,206.0
39,553.0,315.0,208.0
40,548.0,312.0,207.0
41,547.0,306.0,203.0
42,552.0,306.0,201.0
43,555.0,311.0,203.0
44,558.0,317.0,206.0
45,558.0,322.0,209.0
46,557.0,324.0,211.0
47,554.0,322.0,210.0
48,550.0,315.0,209.0
49,541.0,315.0,205.0
50,534.0,317.0,202.0
51,536.0,318.0,199.0
52,541.0,319.0,199.0
53,545.0,318.0,202.0
54,550.0,317.0,204.0
55,552.0,315.0,207.0
56,552.0,313.0,210.0
57,545.0,309.0,209.0
58,548.0,305.0,205.0
59,552.0,306.0,203.0
60,556.0,312.0,205.0
61,558.0,318.0,208.0
62,557.0,323.0,209.0
63,556.0,323.0,211.0
64,552.0,319.0,211.0
65,547.0,313.0,208.0
66,537.0,314.0,204.0
67,533.0,316.0,201.0
68,537.0,318.0,199.0
69,542.0,318.0,200.0
70,546.0,317.0,202.0
71,550.0,316.0,204.0
72,553.0,313.0,206.0
73,551.0,311.0,207.0
74,545.0,306.0,204.0
75,550.0,304.0,202.0
76,554.0,307.0,202.0
77,557.0,314.0,205.0
78,557.0,320.0,208.0
79,556.0,323.0,210.0
80,554.0,322.0,210.0
81,551.0,316.0,210.0
82,544.0,312.0,207.0
83,534.0,314.0,202.0
84,534.0,317.0,199.0
85,539.0,318.0,199.0
86,543.0,317.0,200.0
87,547.0,316.0,204.0
88,551.0,315.0,207.0
89,552.0,312.0,209.0
90,547.0,309.0,210.0
91,546.0,304.0,207.0
92,551.0,304.0,205.0
93,555.0,310.0,206.0
94,557.0,316.0,209.0
95,557.0,321.0,211.0
96,556.0,324.0,214.0
97,553.0,320.0,213.0
98,549.0,314.0,211.0
99,539.0,313.0,208.0
100,533.0,316.0,203.0
101,536.0,317.0,201.0
102,540.0,319.0,202.0
103,545.0,319.0,203.0
104,549.0,317.0,205.0
105,552.0,315.0,208.0
106,553.0,312.0,208.0
